x,y,y',y''
0.000,-1.000,3.000,0.000
0.200,-0.411,2.842,-1.558
0.400,0.117,2.393,-2.869
0.600,0.532,1.725,-3.728
0.800,0.800,0.942,-3.998
1.000,0.909,0.168,-3.637
1.200,0.875,-0.475,-2.702
1.400,0.735,-0.884,-1.340
1.600,0.542,-0.997,0.233
1.800,0.357,-0.794,1.770
2.000,0.243,-0.307,3.027
2.200,0.248,0.385,3.806
2.400,0.404,1.175,3.985
2.600,0.717,1.937,3.534
2.800,1.169,2.551,2.525
3.000,1.721,2.920,1.118
3.200,2.317,2.986,-0.466
3.400,2.894,2.739,-1.976
3.600,3.394,2.217,-3.175
3.800,3.768,1.503,-3.872
4.000,3.989,0.709,-3.957
4.200,4.055,-0.039,-3.418
